"gene","all15_adjusted_technique_logFC","all15_adjusted_technique_FDR","fresh11_logFC","fresh11_FDR","fresh_no_prior_treatment_logFC","fresh_no_prior_treatment_FDR"
"MAOA",0.217440779919227,0.915615419264746,0.162606694007236,0.839806827180451,0.156573351402869,0.848852976435192
"KDM6A",-0.0253930711050621,0.987232790302631,0.0117331404967734,0.980768903450828,0.0372226829934225,0.94260229955405
"MIR222HG",-0.151525658819174,0.903608037062864,-0.109234909091757,0.813747570349955,-0.196884124922808,0.638342318048335
"CHST7",-0.0676701997805217,0.986243996198961,-0.0335978220298028,0.975940010120607,-0.110335736338006,0.92510333939096
"SLC9A7",-0.0661007185178108,0.937120241257205,-0.0394601555420404,0.907995835423185,-0.0462390235945106,0.909013039308803
"RP2",-0.0374583315264453,0.978916937415713,-0.0209336706178936,0.967060239034651,-0.0498800239898286,0.922975067149587
"NDUFB11",0.130869603297084,0.986243996198961,0.183057991811838,0.602584390525497,0.211506700751662,0.560203546352872
"UBA1",0.050079378191866,0.957608581799535,0.033075078243865,0.910792859497578,0.00166942494232867,0.997315950306238
"USP11",0.271683031313059,0.620497879203569,0.221796457036698,0.539909812541728,0.236544313633732,0.468140187860629
"TIMP1",-0.0219704308405494,0.99418593753529,-0.00473519777222889,0.995677986178004,-0.0526732536920646,0.945137784813934
"CFP",-0.03713270393628,0.987955399080789,-0.0335794298412735,0.975940010120607,-0.0956077628217593,0.940686939663035
"UXT",0.00628780194742567,0.997223279837635,0.0203868783154744,0.963632023564318,0.0335010442755428,0.936267582711561
"ZNF81",-0.349632040188361,0.631427909480806,-0.243937602954185,0.672798608978568,-0.27591548154251,0.661047764554629
"SLC38A5",0.349083138199729,0.903608037062864,0.206711780228734,0.865887045284762,0.226832410045458,0.850173416597071
"RBM3",0.108102179998343,0.926058247355641,0.0994878481674252,0.837201784480071,0.113747073633012,0.759954651839089
"WDR13",0.378796933545826,0.620497879203569,0.259586375103487,0.566135177186251,0.328429728076656,0.477953424986133
"WAS",0.0463288778371181,0.962718721338874,0.0632663274134225,0.848123562433291,0.0385138110126654,0.922709833813539
"PCSK1N",-0.749650789294793,0.855006692763517,-0.446089446007989,0.73101121462528,-0.555484863329238,0.676872191446192
"PQBP1",0.0672152881329204,0.932517504073116,0.0866957518644522,0.763121519273086,0.107272002663712,0.745479749789988
"TIMM17B",0.128081481926168,0.969952634197529,0.0598529690130861,0.833312333476619,0.0708336476671834,0.815752332865269
"PRAF2",0.309505224088758,0.862316025596893,0.184620211430214,0.704940213633755,0.284055159769,0.57608720313013
"WDR45",0.141619058181967,0.858670945420424,0.119898889414278,0.750972159388056,0.198208543408689,0.596366488810727
