"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"nmSC","PC_VSMC","TGFB1","ACVR1_TGFbR",0.000472611257270869,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"PC_VSMC","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00151495144334715,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"TC","PC_VSMC","TGFB1","ACVR1_TGFbR",0.00424282543412822,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Fibroblast","Endothelial","TGFB2","ACVR1_TGFbR",0.00018957184268204,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"PC_VSMC","Endothelial","TGFB2","ACVR1_TGFbR",0.000178539968823305,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Fibroblast","Fibroblast","TGFB2","ACVR1_TGFbR",0.000145128673515214,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"PC_VSMC","Fibroblast","TGFB2","ACVR1_TGFbR",0.000136682755471986,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Fibroblast","PC_VSMC","TGFB2","ACVR1_TGFbR",0.000112691322523591,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"PC_VSMC","PC_VSMC","TGFB2","ACVR1_TGFbR",0.000106132930360956,0,"TGFB2_ACVR1_TGFBR1","TGFB2 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Endothelial","myeSC","BMP2","BMPR1A_ACVR2A",2.17743923087184e-06,0,"BMP2_BMPR1A_ACVR2A","BMP2 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
