"patient","source","target","pathway","interaction","eligible","expression_support_10pct","ligand_receptor_expression_product"
"SCH2","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,7.50031280285289
"SCH3","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,3.7926978308766
"SCH4","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,15.9779628650112
"SCH5","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,20.6795939639766
"SCH6","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,10.1687631611397
"SCH7","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,19.1693868299426
"SCH8","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,19.3889176499255
"SCH9","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,1.84711504591136
"SCH13","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,7.83529753763669
"SCH14","nmSC","C3low_Myeloid","SPP1","SPP1_ITGA4_ITGB1",TRUE,TRUE,6.65226840774412
"SCH1","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,6.62058624665235
"SCH2","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,7.2376148861205
"SCH3","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,3.10221130334002
"SCH4","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,12.5380014936294
"SCH5","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,11.4629144001578
"SCH6","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,7.40072897245319
"SCH7","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,17.69357067648
"SCH8","nmSC","C3high_Myeloid","SPP1","SPP1_ITGA5_ITGB1",TRUE,TRUE,12.8112256901476
