"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"C3low_Myeloid","myeSC","GAS6","TYRO3",0.000130161517083209,0,"GAS6_TYRO3","GAS6 - TYRO3","GAS","Secreted Signaling","PMID: 27801848"
"C3high_Myeloid","nmSC","GAS6","TYRO3",0.000827093161223205,0,"GAS6_TYRO3","GAS6 - TYRO3","GAS","Secreted Signaling","PMID: 27801848"
"C3low_Myeloid","nmSC","GAS6","TYRO3",0.000185217272540721,0,"GAS6_TYRO3","GAS6 - TYRO3","GAS","Secreted Signaling","PMID: 27801848"
"C3high_Myeloid","myeSC","GRN","SORT1",0.0798925240467869,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"C3low_Myeloid","myeSC","GRN","SORT1",0.0638560015059558,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"C3high_Myeloid","nmSC","GRN","SORT1",0.0305039033474285,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"C3low_Myeloid","nmSC","GRN","SORT1",0.0241210810698751,0,"GRN_SORT1","GRN - SORT1","GRN","Secreted Signaling","PMID: 29555433"
"myeSC","C3high_Myeloid","PROS1","AXL",0.0331989759932807,0,"PROS1_AXL","PROS1 - AXL","PROS","Secreted Signaling","PMID: 29531161"
"nmSC","C3high_Myeloid","PROS1","AXL",0.0239524517663726,0,"PROS1_AXL","PROS1 - AXL","PROS","Secreted Signaling","PMID: 29531161"
"myeSC","C3low_Myeloid","PROS1","AXL",0.0271035840159718,0,"PROS1_AXL","PROS1 - AXL","PROS","Secreted Signaling","PMID: 29531161"
"nmSC","C3low_Myeloid","PROS1","AXL",0.0195204609001416,0,"PROS1_AXL","PROS1 - AXL","PROS","Secreted Signaling","PMID: 29531161"
"C3high_Myeloid","myeSC","PSAP","GPR37L1",0.0620188816988871,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"C3low_Myeloid","myeSC","PSAP","GPR37L1",0.0461157844970877,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"C3high_Myeloid","nmSC","PSAP","GPR37L1",0.0135321111882808,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"C3low_Myeloid","nmSC","PSAP","GPR37L1",0.00993052885815666,0,"PSAP_GPR37L1","PSAP - GPR37L1","PSAP","Secreted Signaling","PMID: 23690594"
"myeSC","C3high_Myeloid","RARRES2","CMKLR1",0.000173543233878406,0,"RARRES2_CMKLR1","RARRES2 - CMKLR1","CHEMERIN","Secreted Signaling","PMID: 24671882"
"nmSC","C3high_Myeloid","RARRES2","CMKLR1",0.00113499217798005,0,"RARRES2_CMKLR1","RARRES2 - CMKLR1","CHEMERIN","Secreted Signaling","PMID: 24671882"
"C3high_Myeloid","nmSC","LGALS9","CD44",0.0232877796397758,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"C3low_Myeloid","nmSC","LGALS9","CD44",0.0159028859504241,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
